typeid,type,valid,val,enum
5,Accession Type,754,Placeholder, 
5,Accession Type,182,Loan, 
5,Accession Type,181,Deposit, 
5,Accession Type,180,Unknown, 
5,Accession Type,179,Returned, 
6,Contact Type,22,Donor: < $1K, 
6,Contact Type,20,Educ: K-12, 
6,Contact Type,11,Researcher: FLC student, 
6,Contact Type,19,Business, 
6,Contact Type,23,Donor: $1K -$100K, 
6,Contact Type,12,Donor: Collections, 
6,Contact Type,399,FLC Foundation Board, 
6,Contact Type,640,Intermountain Weavers Guild 2009 Entry, 
6,Contact Type,13,Researcher: FLC faculty/staff, 
6,Contact Type,683,Four Corners Museum Network (Inst.), 
6,Contact Type,467,SCCD Program Recipient, 
6,Contact Type,234,Lender, 
6,Contact Type,601,Cracked, 
6,Contact Type,462,Oral history speaker, 
6,Contact Type,637,MVF Soukiini 2006 Lender, 
6,Contact Type,221,Appraiser, 
6,Contact Type,753,Transfer, 
6,Contact Type,30,Cultural institution, 
6,Contact Type,326,MVF Soukiini 2006 Attendee, 
6,Contact Type,367,Juried Photos, 
6,Contact Type,21,"CSWS Personnel, Volunteer, Operator", 
6,Contact Type,368,CSWS Friends Group, 
6,Contact Type,31,Nighthorse Lender, 
6,Contact Type,334,CSWS Board (Current), 
6,Contact Type,452,Donor Wall On $10K, 
6,Contact Type,451,Donor Wall On $1K, 
6,Contact Type,333,Native Am Intern, 
6,Contact Type,14,Researcher: Other Academic Institution, 
6,Contact Type,15,Researcher: General Public, 
6,Contact Type,16,Gallery, 
6,Contact Type,441,CSWS Personnel or Volunteer (Current), 
6,Contact Type,398,Board of Trustees, 
6,Contact Type,29,VIP, 
6,Contact Type,28,Vendor, 
6,Contact Type,27,Politician, 
6,Contact Type,17,Educ: Higher, 
6,Contact Type,26,Funder, 
6,Contact Type,25,Media, 
6,Contact Type,24,Donor: > $100K, 
6,Contact Type,18,Individual, 
7,Count Unit,166,photographs, 
7,Count Unit,169,"box, small", 
7,Count Unit,168,rolls of film, 
7,Count Unit,157,envelopes, 
7,Count Unit,33,"box, record", 
7,Count Unit,32,items, 
7,Count Unit,159,folders, 
7,Count Unit,605,Photocopy, 
7,Count Unit,158,"box, flat", 
7,Count Unit,153,audiotapes, 
7,Count Unit,160,issues, 
7,Count Unit,239,digital files, 
7,Count Unit,154,compact discs, 
7,Count Unit,161,lsf, 
7,Count Unit,556,Movie reel, 
7,Count Unit,162,maps, 
7,Count Unit,163,microfiche, 
7,Count Unit,248,postcards, 
7,Count Unit,164,microfilm reels, 
7,Count Unit,167,posters, 
7,Count Unit,165,pages, 
7,Count Unit,187,tons, 
7,Count Unit,186,cash, 
7,Count Unit,185,"box, bankers", 
7,Count Unit,184,acres, 
7,Count Unit,156,DVDs, 
7,Count Unit,436,data cartridges, 
7,Count Unit,155,"box, document", 
7,Count Unit,171,volumes, 
7,Count Unit,170,videotapes, 
8,Owner Type,34,FLC, 
8,Owner Type,35,Foundation, 
8,Owner Type,592,Unknown, 
8,Owner Type,36,Donor, 
8,Owner Type,37,Transferred out, 
8,Owner Type,80,Lender, 
9,Format/Type,284,"Photo, Glass Plate Negative", 
9,Format/Type,1178,"Painting, Sandpainting", 
9,Format/Type,1177,"Painting, Acrylic on Paper", 
9,Format/Type,1176,"Painting, Oil on Canvas", 
9,Format/Type,628,"Drawing, Pencil/Graphite/Conte", 
9,Format/Type,172,Electronic, 
9,Format/Type,650,Beadwork, 
9,Format/Type,718,Garment, 
9,Format/Type,726,Worked Natural Material(s), 
9,Format/Type,223,Jewelry, 
9,Format/Type,235,Painting, 
9,Format/Type,236,Textile, 
9,Format/Type,237,"Sculpture, Plaster", 
9,Format/Type,244,Ceramic, 
9,Format/Type,247,Film, 
9,Format/Type,277,"Photo, Slide Transparency", 
9,Format/Type,280,"Photo, Glass Transparency (Positive)", 
9,Format/Type,281,"Photo, Lantern Slide", 
9,Format/Type,282,Digital Image File, 
9,Format/Type,283,"Digital, Paper Printout", 
9,Format/Type,285,Postcard, 
9,Format/Type,286,"Newspaper, Clipping", 
9,Format/Type,287,"Painting, on Canvas", 
9,Format/Type,288,"Painting, on Board", 
9,Format/Type,289,"Painting, Acrylic on Canvas", 
9,Format/Type,290,"Painting, Oil on Board", 
9,Format/Type,291,"Painting, Acrylic on Board", 
9,Format/Type,292,Painting on Paper, 
9,Format/Type,293,"Drawing, Soft Pastels", 
9,Format/Type,294,"Print, Poster", 
9,Format/Type,295,"Printmaking, Lithograph", 
9,Format/Type,296,"Postcard, Black and White", 
9,Format/Type,297,Scrapbook, 
9,Format/Type,298,"Photo, Panoramic", 
9,Format/Type,299,"Postcard, Tinted", 
9,Format/Type,300,Album, 
9,Format/Type,301,"Photo, Negative", 
9,Format/Type,302,Postal Card, 
9,Format/Type,303,Audiotape, 
9,Format/Type,304,"Postcard, Leather", 
9,Format/Type,305,"Printmaking, Relief/Woodcut/Linoleum", 
9,Format/Type,306,"Photo, Polaroid Print", 
9,Format/Type,307,Blueprint, 
9,Format/Type,308,Architectural Drawing, 
9,Format/Type,309,CD, 
9,Format/Type,310,"Sculpture, Bronze", 
9,Format/Type,311,Diary, 
9,Format/Type,312,DVD, 
9,Format/Type,313,Ephemera, 
9,Format/Type,314,Map, 
9,Format/Type,315,"Postcard, Brown and White", 
9,Format/Type,316,Microfilm, 
9,Format/Type,317,Microfiche, 
9,Format/Type,318,Movie Film, 
9,Format/Type,319,"Postcard, Color", 
9,Format/Type,320,Newspaper, 
9,Format/Type,321,Phonograph Record, 
9,Format/Type,322,"Postcard, Sepia", 
9,Format/Type,338,Carving, 
9,Format/Type,339,Sculpture, 
9,Format/Type,383,"Printmaking, Serigraph/Silk-Screen", 
9,Format/Type,38,Wood, 
9,Format/Type,1199,Drawing on Board, 
9,Format/Type,1198,Drawing on Paper, 
9,Format/Type,1197,"Painting, Watercolor on Paper", 
9,Format/Type,39,Metalwork, 
9,Format/Type,1196,"Painting, Acrylic on Canvas", 
9,Format/Type,1195,"Painting, Acrylic on Board", 
9,Format/Type,1194,"Painting, Oil on Board", 
9,Format/Type,1193,Painting on Board, 
9,Format/Type,1192,Painting on Canvas, 
9,Format/Type,1191,"Print, Giclee' Fine Art Reproduction", 
9,Format/Type,1190,"Print, Poster (Signed & Numbered)", 
9,Format/Type,1189,"Printmaking, Intaglio/Etching/Mezzontint", 
9,Format/Type,1188,"Printmaking, Monotype", 
9,Format/Type,439,"Drawing, Charcoal", 
9,Format/Type,455,Pottery, 
9,Format/Type,457,"Photo, Stereograph", 
9,Format/Type,1187,"Digital, Inkjet/Giclee", 
9,Format/Type,1186,Folio, 
9,Format/Type,1184,Collage, 
9,Format/Type,58,Leather, 
9,Format/Type,59,Hide, 
9,Format/Type,60,Basketry, 
9,Format/Type,61,Paper, 
9,Format/Type,62,"Painting, Oil on Canvas", 
9,Format/Type,63,"Drawing, Pastels", 
9,Format/Type,64,"Photo, Print", 
9,Format/Type,481,"Postcard, Blue and White", 
9,Format/Type,998,"Negative, Film", 
9,Format/Type,999,"Negative, Film & Print", 
9,Format/Type,1000,"Transparency, Film", 
9,Format/Type,1001,"Photo, Glass Transparency", 
9,Format/Type,1002,"Photo, Halftone", 
9,Format/Type,1003,Negative & Print, 
9,Format/Type,1004,"Photo, Transparency", 
9,Format/Type,65,"Print, Poster (Signed)", 
9,Format/Type,545,Doll, 
9,Format/Type,1183,Mixed Media, 
9,Format/Type,1182,"Drawing, Colored Pencil", 
9,Format/Type,1181,"Drawing, Ink", 
9,Format/Type,1180,"Drawing, Oil Pastels", 
9,Format/Type,582,Plaque, 
9,Format/Type,1179,"Painting, Watercolor on Board", 
10,Genre,114,Textiles and garments, 
10,Genre,336,Land, 
10,Genre,670,Natural History Specimen, 
10,Genre,105,Aural, 
10,Genre,329,2D Art, 
10,Genre,555,Movies, 
10,Genre,107,Cash, 
10,Genre,108,Digital, 
10,Genre,599,Prop/Fixture/Graphic, 
10,Genre,112,Photography, 
10,Genre,111,Paper, 
10,Genre,110,Microforms, 
10,Genre,109,Maps, 
10,Genre,104,Artifacts, 
10,Genre,113,Postcards, 
10,Genre,409,Newspaper, 
10,Genre,106,Books and bound materials, 
11,NAGPRA Type,210,Undetermined, 
11,NAGPRA Type,44,Cultural, 
11,NAGPRA Type,43,"Funerary, Associated Object", 
11,NAGPRA Type,42,Human Remains, 
11,NAGPRA Type,1122,"Funerary, Unassociated Object", 
11,NAGPRA Type,93,Ceremonial/Sacred, 
11,NAGPRA Type,1123,Funerary Object, 
12,Budget Code,352,41420, 
12,Budget Code,342,25003, 
12,Budget Code,341,25002, 
12,Budget Code,343,25004, 
12,Budget Code,340,25001, 
12,Budget Code,344,41010, 
12,Budget Code,347,41507, 
12,Budget Code,348,51260, 
12,Budget Code,349,41392, 
12,Budget Code,350,41500, 
12,Budget Code,351,41510, 
12,Budget Code,353,41520, 
12,Budget Code,354,43089, 
12,Budget Code,355,44337, 
12,Budget Code,356,44341, 
12,Budget Code,595,43175, 
12,Budget Code,46,25000, 
